update_id,reported_date,source_type,field_text,site_location,reported_by,benchmark_expected_act,benchmark_intent
UPD-2026-023,2026-04-18,excel,Gas compressor skid positioned on foundation bolts with 50 ton crane.,Compressor Shed D,Sanjib Bora (Heavy Rigging),OIL-MEC-603-D,medium_planner_review
UPD-2026-024,2026-04-19,whatsapp_log,DCS instrument signal checking in progress with control room engineer.,Control Room Loop,Anil Sonowal (Automation Engr),OIL-INS-508-B,medium_planner_review
UPD-2026-025,2026-04-20,text,Flange bolt torquing and tensioning inspection completed on main skid.,Main Skid Manifold,Kishore Nath (Mechanical Foreman),OIL-PIP-206-A,medium_planner_review
UPD-2026-026,2026-04-21,whatsapp_log,Stringing of 14-inch coated pipes done for 85 joints along right of way.,ROW Chainage 12,Suraj Tamang (Pipe Hauler),OIL-PLN-103-A,medium_planner_review
UPD-2026-027,2026-04-22,excel,Non-shrink epoxy grouting poured below dispatch pump baseplate.,Pump Shed B,Dipen Borpatra (Pump Station Lead),OIL-MEC-605-B,medium_planner_review
UPD-2026-028,2026-04-23,whatsapp_log,RTU panel installed and terminal wiring connected in local shelter.,RTU Shelter C,Ashim Bhattacharya (SCADA Eng),OIL-INS-501-C,medium_planner_review
UPD-2026-029,2026-04-24,text,Pigging run tool launched and retrieved successfully with zero damage to cup.,Pig Receiver Station B,Ranjit Moran (Pipeline Operator),OIL-PLN-112-B,medium_planner_review
UPD-2026-030,2026-04-25,excel,"Formwork and water curing of concrete block completed, 14 days finished.",Block C Foundation,Rajib Borgohain (Civil QC),OIL-CIV-306-C,medium_planner_review
UPD-2026-031,2026-04-26,whatsapp_log,"Continuous heavy torrential rain since 9 AM, site completely waterlogged, civil work suspended.",All Sectors,Site Incharge Office,UNMATCHED,low_unmatched_review
UPD-2026-032,2026-04-27,whatsapp_log,Daily safety toolbox meeting conducted with 45 workers regarding working at height and PPE.,Safety Muster Point,HSE Officer Dibrugarh,UNMATCHED,low_unmatched_review
UPD-2026-033,2026-04-28,text,"Site DG generator 250 kVA fuel tank filled with 800 liters diesel, oil filter replaced.",DG Yard,Utility Mechanic,UNMATCHED,low_unmatched_review
UPD-2026-034,2026-04-29,excel,Local village panchayat delegation visited site regarding culvert crossing access road.,Village Approach Gate,Liaison Officer,UNMATCHED,low_unmatched_review
UPD-2026-035,2026-04-30,whatsapp_log,"Hydraulic excavator CAT 320 broken down due to blown oil hose, mechanic team dispatched.",KP 22 Workshop,Equipment Store Incharge,UNMATCHED,low_unmatched_review
UPD-2026-036,2026-05-01,text,Catering and drinking water delivery received for night shift crew.,Base Camp Mess,Camp Administrator,UNMATCHED,low_unmatched_review
UPD-2026-037,2026-05-02,excel,Third party ISO audit team completed documentation review in admin building.,Conference Hall,QA Auditor,UNMATCHED,low_unmatched_review
UPD-2026-038,2026-05-03,whatsapp_log,Forest department ranger conducted joint boundary pillar verification.,Reserve Forest Boundary,Survey Team 2,UNMATCHED,low_unmatched_review
UPD-2026-039,2026-05-04,text,Site perimeter floodlights bulb replacement completed on Mast 4.,Perimeter Mast 4,Maintenance Electrician,UNMATCHED,low_unmatched_review
UPD-2026-040,2026-04-15,whatsapp_log,Scaffolding dismantled from administrative building stairwell.,Admin Building,General Labor Gang,UNMATCHED,low_unmatched_review
