update_id,reported_date,source_type,field_text,expanded_text,applied_aliases,matched_activity_id,top_activity_name,top_activity_discipline,confidence_score,confidence_level,matched_layer,status,planner_remarks,candidate_matches_json
UPD-2026-011,2026-04-26,whatsapp_log,"Trench padding, backfilling and soil compaction completed KP 31 to 45 Section C.","Trench padding, backfilling and soil compaction completed KP 31 to 45 Section C. (Domain Expansion: pipeline trench backfilling padding and soil compaction)",backfilling,OIL-PLN-110-C,"Trench Padding, Backfilling and Soil Compaction - KP 31-46",Pipeline,0.8951,High,hybrid,pending,,"[{""activity_id"": ""OIL-PLN-110-C"", ""activity_name"": ""Trench Padding, Backfilling and Soil Compaction - KP 31-46"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.10.3"", ""semantic_score"": 0.8838, ""fuzzy_score"": 0.8829, ""discipline_boost"": 1.0, ""final_score"": 0.8951}, {""activity_id"": ""OIL-PLN-110-B"", ""activity_name"": ""Trench Padding, Backfilling and Soil Compaction - KP 16-31"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.10.2"", ""semantic_score"": 0.8656, ""fuzzy_score"": 0.8786, ""discipline_boost"": 1.0, ""final_score"": 0.8836}, {""activity_id"": ""OIL-PLN-110-D"", ""activity_name"": ""Trench Padding, Backfilling and Soil Compaction - KP 46-61"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.10.4"", ""semantic_score"": 0.8645, ""fuzzy_score"": 0.8786, ""discipline_boost"": 1.0, ""final_score"": 0.883}]"
UPD-2026-012,2026-04-27,excel,Dyke bund wall civil construction around crude storage Tank B finished up to 2m height.,Dyke bund wall civil construction around crude storage Tank B finished up to 2m height. (Domain Expansion: tank dyke perimeter bund wall civil construction),bund wall,OIL-CIV-307-B,Dyke Bund Wall Civil Construction around Crude Storage - Tank B,Civil,0.8566,High,hybrid,pending,,"[{""activity_id"": ""OIL-CIV-307-B"", ""activity_name"": ""Dyke Bund Wall Civil Construction around Crude Storage - Tank B"", ""discipline"": ""Civil"", ""wbs_code"": ""1.3.7.2"", ""semantic_score"": 0.7796, ""fuzzy_score"": 0.9367, ""discipline_boost"": 1.0, ""final_score"": 0.8566}, {""activity_id"": ""OIL-CIV-307-D"", ""activity_name"": ""Dyke Bund Wall Civil Construction around Crude Storage - Tank D"", ""discipline"": ""Civil"", ""wbs_code"": ""1.3.7.4"", ""semantic_score"": 0.7561, ""fuzzy_score"": 0.917, ""discipline_boost"": 1.0, ""final_score"": 0.8368}, {""activity_id"": ""OIL-CIV-307-A"", ""activity_name"": ""Dyke Bund Wall Civil Construction around Crude Storage - Tank A"", ""discipline"": ""Civil"", ""wbs_code"": ""1.3.7.1"", ""semantic_score"": 0.7444, ""fuzzy_score"": 0.917, ""discipline_boost"": 1.0, ""final_score"": 0.8304}]"
UPD-2026-013,2026-04-28,whatsapp_log,Emergency shutdown valve ESDV stroke testing and calibration carried out at Station D.,Emergency shutdown valve ESDV stroke testing and calibration carried out at Station D.,,OIL-INS-507-D,Emergency Shutdown Valve (ESDV) Stroke Testing and Calibration - Station D,Instrumentation,0.7961,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-INS-507-D"", ""activity_name"": ""Emergency Shutdown Valve (ESDV) Stroke Testing and Calibration - Station D"", ""discipline"": ""Instrumentation"", ""wbs_code"": ""1.5.7.4"", ""semantic_score"": 0.8826, ""fuzzy_score"": 0.8875, ""discipline_boost"": 0.0, ""final_score"": 0.7961}, {""activity_id"": ""OIL-INS-507-B"", ""activity_name"": ""Emergency Shutdown Valve (ESDV) Stroke Testing and Calibration - Station B"", ""discipline"": ""Instrumentation"", ""wbs_code"": ""1.5.7.2"", ""semantic_score"": 0.8472, ""fuzzy_score"": 0.8838, ""discipline_boost"": 0.0, ""final_score"": 0.7753}, {""activity_id"": ""OIL-INS-507-C"", ""activity_name"": ""Emergency Shutdown Valve (ESDV) Stroke Testing and Calibration - Station C"", ""discipline"": ""Instrumentation"", ""wbs_code"": ""1.5.7.3"", ""semantic_score"": 0.8454, ""fuzzy_score"": 0.8838, ""discipline_boost"": 0.0, ""final_score"": 0.7743}]"
UPD-2026-014,2026-04-29,text,Flare knockout drum KOD skidded vessel erection placed on foundation at Area B.,Flare knockout drum KOD skidded vessel erection placed on foundation at Area B. (Domain Expansion: flare gas liquid knockout drum KOD vessel erection),knockout drum,OIL-MEC-602-B,Flare Knockout Drum (KOD) Skidded Vessel Erection - Area B,Mechanical,0.8409,High,hybrid,pending,,"[{""activity_id"": ""OIL-MEC-602-B"", ""activity_name"": ""Flare Knockout Drum (KOD) Skidded Vessel Erection - Area B"", ""discipline"": ""Mechanical"", ""wbs_code"": ""1.6.2.2"", ""semantic_score"": 0.8044, ""fuzzy_score"": 0.8529, ""discipline_boost"": 1.0, ""final_score"": 0.8409}, {""activity_id"": ""OIL-MEC-602-D"", ""activity_name"": ""Flare Knockout Drum (KOD) Skidded Vessel Erection - Area D"", ""discipline"": ""Mechanical"", ""wbs_code"": ""1.6.2.4"", ""semantic_score"": 0.7869, ""fuzzy_score"": 0.8486, ""discipline_boost"": 1.0, ""final_score"": 0.8298}, {""activity_id"": ""OIL-MEC-602-A"", ""activity_name"": ""Flare Knockout Drum (KOD) Skidded Vessel Erection - Area A"", ""discipline"": ""Mechanical"", ""wbs_code"": ""1.6.2.1"", ""semantic_score"": 0.7896, ""fuzzy_score"": 0.8442, ""discipline_boost"": 1.0, ""final_score"": 0.8297}]"
UPD-2026-015,2026-04-30,excel,Piping spool prefabrication at field workshop Manifold C 42 joints welded.,Piping spool prefabrication at field workshop Manifold C 42 joints welded. (Domain Expansion: prefabricated piping spool erection and line assembly),spool,OIL-PIP-201-C,Piping Spool Prefabrication at Field Workshop - Manifold C,Piping,0.8393,High,hybrid,pending,,"[{""activity_id"": ""OIL-PIP-201-C"", ""activity_name"": ""Piping Spool Prefabrication at Field Workshop - Manifold C"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.1.3"", ""semantic_score"": 0.7417, ""fuzzy_score"": 0.9468, ""discipline_boost"": 1.0, ""final_score"": 0.8393}, {""activity_id"": ""OIL-PIP-201-B"", ""activity_name"": ""Piping Spool Prefabrication at Field Workshop - Manifold B"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.1.2"", ""semantic_score"": 0.7448, ""fuzzy_score"": 0.9295, ""discipline_boost"": 1.0, ""final_score"": 0.835}, {""activity_id"": ""OIL-PIP-201-D"", ""activity_name"": ""Piping Spool Prefabrication at Field Workshop - Manifold D"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.1.4"", ""semantic_score"": 0.7439, ""fuzzy_score"": 0.9295, ""discipline_boost"": 1.0, ""final_score"": 0.8345}]"
UPD-2026-016,2026-05-01,whatsapp_log,"Hydrotesting done today on line 3 section B, holding 95 bar pressure.","Hydrotesting done today on line 3 section B, holding 95 bar pressure.",,OIL-PLN-113-C,Hydrostatic Pressure Testing of Mainline Pipe - KP 31-46,Pipeline,0.5385,Low,unmatched,pending,,"[{""activity_id"": ""OIL-PLN-113-C"", ""activity_name"": ""Hydrostatic Pressure Testing of Mainline Pipe - KP 31-46"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.13.3"", ""semantic_score"": 0.6634, ""fuzzy_score"": 0.496, ""discipline_boost"": 0.0, ""final_score"": 0.5385}, {""activity_id"": ""OIL-PLN-113-D"", ""activity_name"": ""Hydrostatic Pressure Testing of Mainline Pipe - KP 46-61"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.13.4"", ""semantic_score"": 0.6625, ""fuzzy_score"": 0.496, ""discipline_boost"": 0.0, ""final_score"": 0.538}, {""activity_id"": ""OIL-PLN-113-B"", ""activity_name"": ""Hydrostatic Pressure Testing of Mainline Pipe - KP 16-31"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.13.2"", ""semantic_score"": 0.6603, ""fuzzy_score"": 0.496, ""discipline_boost"": 0.0, ""final_score"": 0.5368}]"
UPD-2026-017,2026-05-02,text,Lowering work completed today for pipeline near river bank area.,Lowering work completed today for pipeline near river bank area. (Domain Expansion: pipe section lowering into excavated trench),lowering,OIL-PLN-109-D,Lowering of Coated Pipeline Section into Trench - KP 46-61,Pipeline,0.6584,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-PLN-109-D"", ""activity_name"": ""Lowering of Coated Pipeline Section into Trench - KP 46-61"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.9.4"", ""semantic_score"": 0.6131, ""fuzzy_score"": 0.6321, ""discipline_boost"": 1.0, ""final_score"": 0.6584}, {""activity_id"": ""OIL-PLN-109-A"", ""activity_name"": ""Lowering of Coated Pipeline Section into Trench - KP 1-16"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.9.1"", ""semantic_score"": 0.6053, ""fuzzy_score"": 0.6384, ""discipline_boost"": 1.0, ""final_score"": 0.6564}, {""activity_id"": ""OIL-PLN-109-C"", ""activity_name"": ""Lowering of Coated Pipeline Section into Trench - KP 31-46"", ""discipline"": ""Pipeline"", ""wbs_code"": ""1.1.9.3"", ""semantic_score"": 0.6037, ""fuzzy_score"": 0.6321, ""discipline_boost"": 1.0, ""final_score"": 0.6533}]"
UPD-2026-018,2026-05-03,excel,"PCC layer poured for main compressor block, curing initiated.","PCC layer poured for main compressor block, curing initiated. (Domain Expansion: plain cement concrete PCC foundation bed casting)",pcc,OIL-CIV-303-C,Plain Cement Concrete (PCC) Blinding Layer 1:4:8 - Foundation C,Civil,0.6202,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-CIV-303-C"", ""activity_name"": ""Plain Cement Concrete (PCC) Blinding Layer 1:4:8 - Foundation C"", ""discipline"": ""Civil"", ""wbs_code"": ""1.3.3.3"", ""semantic_score"": 0.5177, ""fuzzy_score"": 0.6728, ""discipline_boost"": 1.0, ""final_score"": 0.6202}, {""activity_id"": ""OIL-CIV-303-D"", ""activity_name"": ""Plain Cement Concrete (PCC) Blinding Layer 1:4:8 - Foundation D"", ""discipline"": ""Civil"", ""wbs_code"": ""1.3.3.4"", ""semantic_score"": 0.5156, ""fuzzy_score"": 0.676, ""discipline_boost"": 1.0, ""final_score"": 0.6202}, {""activity_id"": ""OIL-CIV-303-A"", ""activity_name"": ""Plain Cement Concrete (PCC) Blinding Layer 1:4:8 - Foundation A"", ""discipline"": ""Civil"", ""wbs_code"": ""1.3.3.1"", ""semantic_score"": 0.5166, ""fuzzy_score"": 0.6728, ""discipline_boost"": 1.0, ""final_score"": 0.6196}]"
UPD-2026-019,2026-05-04,whatsapp_log,Cable tray fixing and cable laying ongoing along the overhead pipe rack.,Cable tray fixing and cable laying ongoing along the overhead pipe rack.,,OIL-ELE-402-A,Cable Tray Support Erection and Overhead Tray Laying - Rack A,Electrical,0.6052,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-ELE-402-A"", ""activity_name"": ""Cable Tray Support Erection and Overhead Tray Laying - Rack A"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.2.1"", ""semantic_score"": 0.663, ""fuzzy_score"": 0.6874, ""discipline_boost"": 0.0, ""final_score"": 0.6052}, {""activity_id"": ""OIL-ELE-402-B"", ""activity_name"": ""Cable Tray Support Erection and Overhead Tray Laying - Rack B"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.2.2"", ""semantic_score"": 0.6465, ""fuzzy_score"": 0.6824, ""discipline_boost"": 0.0, ""final_score"": 0.5944}, {""activity_id"": ""OIL-ELE-402-C"", ""activity_name"": ""Cable Tray Support Erection and Overhead Tray Laying - Rack C"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.2.3"", ""semantic_score"": 0.6371, ""fuzzy_score"": 0.6824, ""discipline_boost"": 0.0, ""final_score"": 0.5892}]"
UPD-2026-020,2026-04-15,excel,Chemical copper earthing pit digging and backfilling with compound completed.,Chemical copper earthing pit digging and backfilling with compound completed. (Domain Expansion: pipeline trench backfilling padding and soil compaction; station safety earthing grid and copper earth pit installation),"backfilling, earthing",OIL-ELE-406-A,Chemical Earth Pit Drilling and Copper Earthing Grid Laying - Station A,Electrical,0.7514,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-ELE-406-A"", ""activity_name"": ""Chemical Earth Pit Drilling and Copper Earthing Grid Laying - Station A"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.6.1"", ""semantic_score"": 0.7244, ""fuzzy_score"": 0.7227, ""discipline_boost"": 1.0, ""final_score"": 0.7514}, {""activity_id"": ""OIL-ELE-406-D"", ""activity_name"": ""Chemical Earth Pit Drilling and Copper Earthing Grid Laying - Station D"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.6.4"", ""semantic_score"": 0.7206, ""fuzzy_score"": 0.7207, ""discipline_boost"": 1.0, ""final_score"": 0.7486}, {""activity_id"": ""OIL-ELE-406-B"", ""activity_name"": ""Chemical Earth Pit Drilling and Copper Earthing Grid Laying - Station B"", ""discipline"": ""Electrical"", ""wbs_code"": ""1.4.6.2"", ""semantic_score"": 0.699, ""fuzzy_score"": 0.7227, ""discipline_boost"": 1.0, ""final_score"": 0.7374}]"
UPD-2026-021,2026-04-16,text,"Golden tie-in joint welded at header junction, visual check passed.","Golden tie-in joint welded at header junction, visual check passed. (Domain Expansion: piping golden tie-in weld and line connection)",tie-in,OIL-PIP-203-D,Golden Tie-In Welding at Existing Header Connection - Manifold D,Piping,0.7296,Medium,hybrid,pending,,"[{""activity_id"": ""OIL-PIP-203-D"", ""activity_name"": ""Golden Tie-In Welding at Existing Header Connection - Manifold D"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.3.4"", ""semantic_score"": 0.7308, ""fuzzy_score"": 0.6504, ""discipline_boost"": 1.0, ""final_score"": 0.7296}, {""activity_id"": ""OIL-PIP-203-B"", ""activity_name"": ""Golden Tie-In Welding at Existing Header Connection - Manifold B"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.3.2"", ""semantic_score"": 0.7283, ""fuzzy_score"": 0.6397, ""discipline_boost"": 1.0, ""final_score"": 0.7245}, {""activity_id"": ""OIL-PIP-203-C"", ""activity_name"": ""Golden Tie-In Welding at Existing Header Connection - Manifold C"", ""discipline"": ""Piping"", ""wbs_code"": ""1.2.3.3"", ""semantic_score"": 0.7159, ""fuzzy_score"": 0.6504, ""discipline_boost"": 1.0, ""final_score"": 0.7214}]"
